SampleID,k__Archaea|p__Euryarchaeota|c__Methanobacteria,k__Archaea|p__Euryarchaeota|c__Methanococci,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname,k__Bacteria|p__Deferribacteres|c__Deferribacteres,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__Spirochaetia,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Eukaryota|p__Ascomycota|c__Saccharomycetes
CCIS00146684ST-4-0,0.0,0.0,10.37668,18.32385,0.00201,0.0,0.11588999999999999,65.05762,0.13503,3.6281800000000004,0.0,0.29292,0.31344,0.0,0.08819,0.0,0.0,1.6662,0.0
CCIS00281083ST-3-0,0.14833,0.0,0.0,72.7124,0.0,0.0,0.44882,24.87219,0.049629999999999994,1.59948,0.0,0.0,0.04117,0.0,0.0,0.0,0.0,0.10657,0.02143
CCIS02124300ST-4-0,0.0,0.0,5.907000000000002,12.87648,0.0,0.0,1.2649599999999999,66.12992000000001,0.07680999999999999,11.04428,0.0,1.32875,0.32138999999999995,0.0,0.36324999999999996,0.0,0.0,0.6872199999999999,0.0
CCIS02379307ST-4-0,0.04584,0.0,0.0014199999999999998,51.574010000000015,0.0,0.0,1.03489,45.67960999999999,0.0547,0.10971,0.48234,0.0,0.26492,0.0,0.4798799999999999,0.0,0.0,0.27271,0.0
CCIS03473770ST-4-0,6.19242,0.0,2.7849299999999997,21.723039999999997,0.0016300000000000002,0.0,5.514099999999997,59.42572000000002,0.012759999999999999,1.0216699999999999,0.0,0.030549999999999997,0.25432000000000005,0.0,1.42398,0.0,0.0,1.61489,0.0
CCIS06260551ST-3-0,49.058170000000004,0.0,0.47807,12.947480000000002,0.0,0.0,1.7023200000000003,25.900209999999994,1.1744999999999999,0.01647,0.0,0.0,0.06015,0.0,8.24071,0.0,0.0,0.42193,0.0
CCIS07539127ST-4-0,3.53105,0.0,5.49611,36.58308,0.00279,0.0,10.257690000000002,41.17806,0.11618,1.3069399999999998,0.0,0.041409999999999995,0.57781,0.0,0.18994,0.0,0.0,0.71895,0.0
CCIS07648107ST-4-0,0.35795,0.0,5.0869,39.93963,0.0,0.0,8.519669999999998,40.396220000000014,0.9606399999999999,3.3083700000000005,0.0,0.5544600000000001,0.87122,0.0,0.00489,0.0,0.0,0.0,0.0
CCIS08668806ST-3-0,4.10101,0.0,0.72865,36.73179,0.0,0.0,0.13452,57.14293999999999,0.0,0.67661,0.0,0.17159,0.13671,0.0,0.13075,0.0,0.0,0.04541,0.0
CCIS09568613ST-4-0,0.88997,0.0,12.63204,23.95275,0.0,0.0,2.51177,30.78572000000001,4.00704,2.08194,0.0,0.1451,0.11810999999999999,0.01209,21.2713,0.0,0.0,1.59217,0.0
